ibge7,ibge6,municipio,uf,regiao,ano_populacao,populacao,ubs,hospitais,centros_cirurgicos,centros_obstetricos,ubs_por_10k,hospitais_por_100k,centros_cirurgicos_por_100k,centros_obstetricos_por_100k,indice_lacuna,prioridade_exploratoria
1200013,120001,Acrelândia,AC,Norte,2025,14712,6,1,0,1,4.08,6.8,0.0,6.8,39.9,Moderada
1200054,120005,Assis Brasil,AC,Norte,2025,8648,4,1,0,1,4.63,11.56,0.0,11.56,28.55,Moderada
1200104,120010,Brasiléia,AC,Norte,2025,28028,10,1,1,1,3.57,3.57,3.57,3.57,51.97,Alta
1200138,120013,Bujari,AC,Norte,2025,13928,6,0,0,0,4.31,0.0,0.0,0.0,64.26,Alta
1200179,120017,Capixaba,AC,Norte,2025,10981,6,0,0,0,5.46,0.0,0.0,0.0,50.97,Alta
1200203,120020,Cruzeiro do Sul,AC,Norte,2025,98916,30,5,3,3,3.03,5.05,3.03,3.03,55.73,Alta
1200252,120025,Epitaciolândia,AC,Norte,2025,19874,8,0,0,0,4.03,0.0,0.0,0.0,67.79,Alta
1200302,120030,Feijó,AC,Norte,2025,37764,8,1,1,1,2.12,2.65,2.65,2.65,70.12,Alta
1200328,120032,Jordão,AC,Norte,2025,9884,5,1,0,1,5.06,10.12,0.0,10.12,23.86,Baixa
1200344,120034,Manoel Urbano,AC,Norte,2025,12923,4,1,0,1,3.1,7.74,0.0,7.74,50.83,Alta
1200351,120035,Marechal Thaumaturgo,AC,Norte,2025,18057,5,1,0,1,2.77,5.54,0.0,5.54,57.58,Alta
1200336,120033,Mâncio Lima,AC,Norte,2025,20479,10,1,1,1,4.88,4.88,4.88,4.88,32.76,Moderada
1200385,120038,Plácido de Castro,AC,Norte,2025,17107,8,2,1,2,4.68,11.69,5.85,11.69,27.93,Moderada
1200807,120080,Porto Acre,AC,Norte,2025,17523,5,0,0,0,2.85,0.0,0.0,0.0,81.94,Muito alta
1200393,120039,Porto Walter,AC,Norte,2025,11333,4,1,0,1,3.53,8.82,0.0,8.82,44.46,Moderada
1200401,120040,Rio Branco,AC,Norte,2025,389001,106,14,8,4,2.72,3.6,2.06,1.03,61.96,Alta
1200427,120042,Rodrigues Alves,AC,Norte,2025,15560,9,1,0,1,5.78,6.43,0.0,6.43,20.98,Baixa
1200435,120043,Santa Rosa do Purus,AC,Norte,2025,7217,2,1,0,1,2.77,13.86,0.0,13.86,50.5,Alta
1200500,120050,Sena Madureira,AC,Norte,2025,44049,17,1,1,1,3.86,2.27,2.27,2.27,50.53,Alta
1200450,120045,Senador Guiomard,AC,Norte,2025,22402,11,1,1,1,4.91,4.46,4.46,4.46,33.17,Moderada
1200609,120060,Tarauacá,AC,Norte,2025,46816,11,1,1,1,2.35,2.14,2.14,2.14,68.78,Alta
1200708,120070,Xapuri,AC,Norte,2025,19170,8,1,0,1,4.17,5.22,0.0,5.22,41.22,Moderada
2700201,270020,Anadia,AL,Nordeste,2025,14167,7,1,1,1,4.94,7.06,7.06,7.06,28.31,Moderada
2700300,270030,Arapiraca,AL,Nordeste,2025,243906,46,9,7,5,1.89,3.69,2.87,2.05,69.8,Alta
2700409,270040,Atalaia,AL,Nordeste,2025,38480,19,1,1,1,4.94,2.6,2.6,2.6,36.54,Moderada
2700508,270050,Barra de Santo Antônio,AL,Nordeste,2025,16756,6,0,0,0,3.58,0.0,0.0,0.0,73.36,Alta
2700607,270060,Barra de São Miguel,AL,Nordeste,2025,8123,4,0,0,0,4.92,0.0,0.0,0.0,56.4,Alta
2700706,270070,Batalha,AL,Nordeste,2025,17103,9,1,1,1,5.26,5.85,5.85,5.85,26.6,Moderada
2700904,270090,Belo Monte,AL,Nordeste,2025,5895,3,0,0,0,5.09,0.0,0.0,0.0,54.56,Alta
2700805,270080,Belém,AL,Nordeste,2025,4819,4,0,0,0,8.3,0.0,0.0,0.0,38.53,Moderada
2701001,270100,Boca da Mata,AL,Nordeste,2025,21479,11,1,0,1,5.12,4.66,0.0,4.66,30.47,Moderada
2701100,270110,Branquinha,AL,Nordeste,2025,9779,5,0,0,0,5.11,0.0,0.0,0.0,54.4,Alta
2701209,270120,Cacimbinhas,AL,Nordeste,2025,10705,5,1,0,0,4.67,9.34,0.0,0.0,29.39,Moderada
2701308,270130,Cajueiro,AL,Nordeste,2025,16572,8,1,0,1,4.83,6.03,0.0,6.03,31.18,Moderada
2701357,270135,Campestre,AL,Nordeste,2025,6808,3,0,0,0,4.41,0.0,0.0,0.0,62.9,Alta
2701407,270140,Campo Alegre,AL,Nordeste,2025,32558,17,1,1,1,5.22,3.07,3.07,3.07,32.64,Moderada
2701506,270150,Campo Grande,AL,Nordeste,2025,8285,8,0,0,0,9.66,0.0,0.0,0.0,36.8,Moderada
2701605,270160,Canapi,AL,Nordeste,2025,15730,9,0,0,0,5.72,0.0,0.0,0.0,48.38,Moderada
2701704,270170,Capela,AL,Nordeste,2025,15051,8,1,1,1,5.32,6.64,6.64,6.64,25.28,Moderada
2701803,270180,Carneiros,AL,Nordeste,2025,9206,7,0,0,0,7.6,0.0,0.0,0.0,39.58,Moderada
2701902,270190,Chã Preta,AL,Nordeste,2025,6000,5,0,0,0,8.33,0.0,0.0,0.0,38.41,Moderada
2702009,270200,Coité do Nóia,AL,Nordeste,2025,11036,6,0,0,0,5.44,0.0,0.0,0.0,51.22,Alta
2702108,270210,Colônia Leopoldina,AL,Nordeste,2025,15915,8,1,1,1,5.03,6.28,6.28,6.28,28.52,Moderada
2702207,270220,Coqueiro Seco,AL,Nordeste,2025,5701,5,0,0,0,8.77,0.0,0.0,0.0,37.75,Moderada
2702306,270230,Coruripe,AL,Nordeste,2025,51784,20,3,2,1,3.86,5.79,3.86,1.93,43.49,Moderada
